campaign	relative_path	size_bytes	mtime_utc
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_007_0.86nm/umbrella_eq.cpt	1107692	2026-07-20T04:54:22.5938491940Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_007_0.86nm/umbrella_eq.edr	325400	2026-07-20T04:54:22.6718492530Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_007_0.86nm/umbrella_eq.xtc	82812236	2026-07-20T04:54:22.6018492000Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_007_0.86nm/umbrella_eq_prev.cpt	1106624	2026-07-20T04:54:22.5978491970Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_007_0.86nm/umbrella_prev.cpt	1106604	2026-07-21T22:56:34.6865777610Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_008_0.94nm/umbrella.cpt	1107672	2026-07-24T13:52:38.2280718670Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_008_0.94nm/umbrella.edr	1297400	2026-07-24T13:52:38.2740717900Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_008_0.94nm/umbrella.xtc	330752624	2026-07-24T13:52:38.2320718600Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_008_0.94nm/umbrella_eq.cpt	1107692	2026-07-23T18:43:18.0082473690Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_008_0.94nm/umbrella_eq.edr	325400	2026-07-23T18:43:18.0832473200Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_008_0.94nm/umbrella_eq.xtc	82811584	2026-07-23T18:43:18.0142473650Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_008_0.94nm/umbrella_eq_prev.cpt	1107416	2026-07-23T18:43:18.0102473670Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_008_0.94nm/umbrella_prev.cpt	1106604	2026-07-24T13:52:38.2290718650Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_009_1.01nm/umbrella.cpt	1107672	2026-07-22T21:30:22.3080838980Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_009_1.01nm/umbrella.edr	1297400	2026-07-22T21:30:22.4040839160Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_009_1.01nm/umbrella.xtc	330752576	2026-07-22T21:30:22.3200839000Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_009_1.01nm/umbrella_eq.cpt	1107692	2026-07-20T04:10:31.5881751890Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_009_1.01nm/umbrella_eq.edr	325400	2026-07-20T04:10:31.6661752550Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_009_1.01nm/umbrella_eq.xtc	82811920	2026-07-20T04:10:31.5971751970Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_009_1.01nm/umbrella_eq_prev.cpt	1107416	2026-07-20T04:10:31.5931751930Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_009_1.01nm/umbrella_prev.cpt	1107396	2026-07-22T21:30:22.3120838980Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_010_1.09nm/umbrella.cpt	1107672	2026-07-22T11:33:18.8419746890Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_010_1.09nm/umbrella.edr	1297400	2026-07-22T11:33:18.9289747160Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_010_1.09nm/umbrella.xtc	330751740	2026-07-22T11:33:18.8539746930Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_010_1.09nm/umbrella_eq.cpt	1107692	2026-07-19T21:06:48.0786252460Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_010_1.09nm/umbrella_eq.edr	325400	2026-07-19T21:06:48.1556252920Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_010_1.09nm/umbrella_eq.xtc	82812500	2026-07-19T21:06:48.0876252520Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_010_1.09nm/umbrella_eq_prev.cpt	1107416	2026-07-19T21:06:48.0826252490Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_010_1.09nm/umbrella_prev.cpt	1107396	2026-07-22T11:33:18.8459746900Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_011_1.16nm/umbrella.cpt	1107672	2026-07-23T21:12:55.9902703180Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_011_1.16nm/umbrella.edr	1297400	2026-07-23T21:12:56.0382703180Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_011_1.16nm/umbrella.xtc	330752792	2026-07-23T21:12:55.9952703180Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_011_1.16nm/umbrella_eq.cpt	1107692	2026-07-20T22:37:40.6356698690Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_011_1.16nm/umbrella_eq.edr	325400	2026-07-20T22:37:40.7396698840Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_011_1.16nm/umbrella_eq.xtc	82811808	2026-07-20T22:37:40.6446698710Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_011_1.16nm/umbrella_eq_prev.cpt	1106624	2026-07-20T22:37:40.6406698700Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_011_1.16nm/umbrella_prev.cpt	1107396	2026-07-23T21:12:55.9922703180Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_012_1.24nm/umbrella.cpt	1107672	2026-07-24T11:28:31.4709057320Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_012_1.24nm/umbrella.edr	1297400	2026-07-24T11:28:31.5169056910Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_012_1.24nm/umbrella.xtc	330752556	2026-07-24T11:28:31.4749057290Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_012_1.24nm/umbrella_eq.cpt	1107692	2026-07-22T22:58:19.4553757610Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_012_1.24nm/umbrella_eq.edr	325400	2026-07-22T22:58:19.5853758730Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_012_1.24nm/umbrella_eq.xtc	82812208	2026-07-22T22:58:19.4673757710Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_012_1.24nm/umbrella_eq_prev.cpt	1107416	2026-07-22T22:58:19.4593757650Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_012_1.24nm/umbrella_prev.cpt	1106604	2026-07-24T11:28:31.4719057320Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_013_1.31nm/umbrella.cpt	1107672	2026-07-23T21:51:54.9589956460Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_013_1.31nm/umbrella.edr	1297400	2026-07-23T21:51:55.0069956290Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_013_1.31nm/umbrella.xtc	330751872	2026-07-23T21:51:54.9639956440Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_013_1.31nm/umbrella_eq.cpt	1107692	2026-07-21T12:57:10.6053888700Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_013_1.31nm/umbrella_eq.edr	325400	2026-07-21T12:57:10.6833888770Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_013_1.31nm/umbrella_eq.xtc	82812048	2026-07-21T12:57:10.6143888710Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_013_1.31nm/umbrella_eq_prev.cpt	1107416	2026-07-21T12:57:10.6093888700Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_013_1.31nm/umbrella_prev.cpt	1107396	2026-07-23T21:51:54.9609956450Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_014_1.39nm/umbrella.cpt	1107672	2026-07-24T11:29:56.9628290560Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_014_1.39nm/umbrella.edr	1297400	2026-07-24T11:29:57.0088290150Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_014_1.39nm/umbrella.xtc	330753376	2026-07-24T11:29:56.9668290520Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_014_1.39nm/umbrella_eq.cpt	1107692	2026-07-22T02:01:54.7959408210Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_014_1.39nm/umbrella_eq.edr	325400	2026-07-22T02:01:54.8739407580Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_014_1.39nm/umbrella_eq.xtc	82811804	2026-07-22T02:01:54.8019408160Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_014_1.39nm/umbrella_eq_prev.cpt	1107416	2026-07-22T02:01:54.7979408200Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_014_1.39nm/umbrella_prev.cpt	1107396	2026-07-24T11:29:56.9648290540Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_015_1.46nm/umbrella.cpt	1107672	2026-07-23T12:11:04.3109962930Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_015_1.46nm/umbrella.edr	1297400	2026-07-23T12:11:04.4179963160Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_015_1.46nm/umbrella.xtc	330754228	2026-07-23T12:11:04.3189962950Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_015_1.46nm/umbrella_eq.cpt	1107692	2026-07-21T15:42:58.9406302950Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_015_1.46nm/umbrella_eq.edr	325400	2026-07-21T15:42:59.0196303480Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_015_1.46nm/umbrella_eq.xtc	82811360	2026-07-21T15:42:58.9496303010Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_015_1.46nm/umbrella_eq_prev.cpt	1107416	2026-07-21T15:42:58.9426302960Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_015_1.46nm/umbrella_prev.cpt	1107396	2026-07-23T12:11:04.3149962940Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_016_1.54nm/umbrella.cpt	1107672	2026-07-20T18:20:00.8585721960Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_016_1.54nm/umbrella.edr	1297400	2026-07-20T18:20:00.9425722060Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_016_1.54nm/umbrella.xtc	330754480	2026-07-20T18:20:00.8675721970Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_016_1.54nm/umbrella_eq.cpt	1107692	2026-07-18T12:51:47.0568094760Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_016_1.54nm/umbrella_eq.edr	325400	2026-07-18T12:51:47.1518094890Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_016_1.54nm/umbrella_eq.xtc	82812652	2026-07-18T12:51:47.0678094780Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_016_1.54nm/umbrella_eq_prev.cpt	1107416	2026-07-18T12:51:47.0618094770Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_016_1.54nm/umbrella_prev.cpt	1107396	2026-07-20T18:20:00.8625721970Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_017_1.61nm/umbrella.cpt	1107672	2026-07-23T05:05:04.7314052000Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_017_1.61nm/umbrella.edr	1297400	2026-07-23T05:05:04.8064050340Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_017_1.61nm/umbrella.xtc	330753076	2026-07-23T05:05:04.7364051890Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_017_1.61nm/umbrella_eq.cpt	1107692	2026-07-20T04:41:26.8299053600Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_017_1.61nm/umbrella_eq.edr	325400	2026-07-20T04:41:26.9059055100Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_017_1.61nm/umbrella_eq.xtc	82812312	2026-07-20T04:41:26.8369053740Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_017_1.61nm/umbrella_eq_prev.cpt	1106624	2026-07-20T04:41:26.8329053660Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_017_1.61nm/umbrella_prev.cpt	1106604	2026-07-23T05:05:04.7324051980Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_018_1.69nm/umbrella.cpt	1107672	2026-07-22T12:56:14.1115598790Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_018_1.69nm/umbrella.edr	1297400	2026-07-22T12:56:14.1925599170Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_018_1.69nm/umbrella.xtc	330752948	2026-07-22T12:56:14.1185598820Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_018_1.69nm/umbrella_eq.cpt	1107692	2026-07-18T22:05:01.6253339240Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_018_1.69nm/umbrella_eq.edr	325400	2026-07-18T22:05:01.7003338950Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_018_1.69nm/umbrella_eq.xtc	82812192	2026-07-18T22:05:01.6313339220Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_018_1.69nm/umbrella_eq_prev.cpt	1106624	2026-07-18T22:05:01.6273339240Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_018_1.69nm/umbrella_prev.cpt	1107396	2026-07-22T12:56:14.1135598800Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_019_1.76nm/umbrella.cpt	1107672	2026-07-22T09:53:23.2827726170Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_019_1.76nm/umbrella.edr	1297400	2026-07-22T09:53:23.3677726880Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_019_1.76nm/umbrella.xtc	330752360	2026-07-22T09:53:23.2957726280Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_019_1.76nm/umbrella_eq.cpt	1107692	2026-07-20T21:15:47.8382275150Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_019_1.76nm/umbrella_eq.edr	325400	2026-07-20T21:15:47.9152273310Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_019_1.76nm/umbrella_eq.xtc	82811804	2026-07-20T21:15:47.8462274960Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_019_1.76nm/umbrella_eq_prev.cpt	1107416	2026-07-20T21:15:47.8402275100Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_019_1.76nm/umbrella_prev.cpt	1106604	2026-07-22T09:53:23.2847726190Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_020_1.84nm/umbrella.cpt	1107672	2026-07-20T15:57:50.0433367780Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_020_1.84nm/umbrella.edr	1297400	2026-07-20T15:57:50.1183367890Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_020_1.84nm/umbrella.xtc	330751864	2026-07-20T15:57:50.0493367790Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_020_1.84nm/umbrella_eq.cpt	1107692	2026-07-18T17:54:15.4469100290Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_020_1.84nm/umbrella_eq.edr	325400	2026-07-18T17:54:15.5219100410Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_020_1.84nm/umbrella_eq.xtc	82812224	2026-07-18T17:54:15.4529100300Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_020_1.84nm/umbrella_eq_prev.cpt	1107416	2026-07-18T17:54:15.4489100300Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_020_1.84nm/umbrella_prev.cpt	1107396	2026-07-20T15:57:50.0453367780Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_021_1.91nm/umbrella.cpt	1107672	2026-07-20T22:24:20.9365204140Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_021_1.91nm/umbrella.edr	1297400	2026-07-20T22:24:21.0105204330Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_021_1.91nm/umbrella.xtc	330752848	2026-07-20T22:24:20.9415204150Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_021_1.91nm/umbrella_eq.cpt	1107692	2026-07-18T13:42:10.2895015960Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_021_1.91nm/umbrella_eq.edr	325400	2026-07-18T13:42:10.4065016260Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_021_1.91nm/umbrella_eq.xtc	82811904	2026-07-18T13:42:10.3005015990Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_021_1.91nm/umbrella_eq_prev.cpt	1107416	2026-07-18T13:42:10.2915015960Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_021_1.91nm/umbrella_prev.cpt	1106604	2026-07-20T22:24:20.9375204140Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_022_1.99nm/umbrella.cpt	1107672	2026-07-24T04:24:19.4485176420Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_022_1.99nm/umbrella.edr	1297400	2026-07-24T04:24:19.4955176300Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_022_1.99nm/umbrella.xtc	330753316	2026-07-24T04:24:19.4535176410Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_022_1.99nm/umbrella_eq.cpt	1107692	2026-07-22T21:17:52.0379395570Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_022_1.99nm/umbrella_eq.edr	325400	2026-07-22T21:17:52.1129395720Z
LiCl	LiA3-Ref/gromacs/umbrella_sampling/window_022_1.99nm/umbrella_eq.xtc	82812076	2026-07-22T21:17:52.0439395580Z
