ion	candidate	window	file	bytes	verification
LiCl	LiD3-Core	window_010_0.83nm	umbrella.xtc	319348020	finished_mdrun+final_gro+critical_sha256
LiCl	LiA3-Ref	window_003_1.32nm	umbrella_eq.xtc	82812140	finished_mdrun+final_gro+critical_sha256
LiCl	LiA3-Ref	window_003_1.32nm	umbrella.xtc	330751496	finished_mdrun+final_gro+critical_sha256
LiCl	LiA3-Ref	window_000_1.10nm	umbrella_eq.xtc	82811464	finished_mdrun+final_gro+critical_sha256
LiCl	LiA3-Ref	window_000_1.10nm	umbrella.xtc	330752412	finished_mdrun+final_gro+critical_sha256
LiCl	LiA3-Ref	window_001_1.17nm	umbrella_eq.xtc	82811848	finished_mdrun+final_gro+critical_sha256
LiCl	LiA3-Ref	window_001_1.17nm	umbrella.xtc	330753000	finished_mdrun+final_gro+critical_sha256
LiCl	LiA3-Ref	window_002_1.25nm	umbrella_eq.xtc	82811840	finished_mdrun+final_gro+critical_sha256
LiCl	LiA3-Ref	window_002_1.25nm	umbrella.xtc	330752444	finished_mdrun+final_gro+critical_sha256
LiCl	LiDS-1	window_014_1.43nm	umbrella_eq.xtc	52554088	finished_mdrun+final_gro+critical_sha256
LiCl	LiDS-1	window_014_1.43nm	umbrella.xtc	209903464	finished_mdrun+final_gro+critical_sha256
LiCl	LiDS-1	window_020_1.88nm	umbrella_eq.xtc	52554604	finished_mdrun+final_gro+critical_sha256
LiCl	LiDS-1	window_020_1.88nm	umbrella.xtc	209904148	finished_mdrun+final_gro+critical_sha256
LiCl	LiDS-1	window_017_1.65nm	umbrella_eq.xtc	52554248	finished_mdrun+final_gro+critical_sha256
LiCl	LiDS-1	window_017_1.65nm	umbrella.xtc	209902904	finished_mdrun+final_gro+critical_sha256
LiCl	LiDS-1	window_022_2.03nm	umbrella_eq.xtc	52555056	finished_mdrun+final_gro+critical_sha256
LiCl	LiDS-1	window_022_2.03nm	umbrella.xtc	209912764	finished_mdrun+final_gro+critical_sha256
LiCl	LiDS-1	window_016_1.58nm	umbrella_eq.xtc	52555216	finished_mdrun+final_gro+critical_sha256
LiCl	LiDS-1	window_016_1.58nm	umbrella.xtc	209902584	finished_mdrun+final_gro+critical_sha256
LiCl	LiDS-1	window_024_2.18nm	umbrella_eq.xtc	52554264	finished_mdrun+final_gro+critical_sha256
LiCl	LiDS-1	window_024_2.18nm	umbrella.xtc	209905488	finished_mdrun+final_gro+critical_sha256
LiCl	LiDS-1	window_013_1.35nm	umbrella_eq.xtc	52554704	finished_mdrun+final_gro+critical_sha256
LiCl	LiDS-1	window_013_1.35nm	umbrella.xtc	209903260	finished_mdrun+final_gro+critical_sha256
LiCl	LiDS-1	window_023_2.10nm	umbrella_eq.xtc	52554168	finished_mdrun+final_gro+critical_sha256
LiCl	LiDS-1	window_023_2.10nm	umbrella.xtc	209905272	finished_mdrun+final_gro+critical_sha256
LiCl	LiDS-1	window_025_2.25nm	umbrella_eq.xtc	52555516	finished_mdrun+final_gro+critical_sha256
LiCl	LiDS-1	window_025_2.25nm	umbrella.xtc	209906392	finished_mdrun+final_gro+critical_sha256
LiCl	LiDS-1	window_019_1.80nm	umbrella_eq.xtc	52554012	finished_mdrun+final_gro+critical_sha256
LiCl	LiDS-1	window_019_1.80nm	umbrella.xtc	209903688	finished_mdrun+final_gro+critical_sha256
LiCl	LiDS-1	window_021_1.95nm	umbrella_eq.xtc	52555540	finished_mdrun+final_gro+critical_sha256
LiCl	LiDS-1	window_021_1.95nm	umbrella.xtc	209904604	finished_mdrun+final_gro+critical_sha256
LiCl	LiDS-1	window_018_1.73nm	umbrella_eq.xtc	52554588	finished_mdrun+final_gro+critical_sha256
LiCl	LiDS-1	window_018_1.73nm	umbrella.xtc	209901316	finished_mdrun+final_gro+critical_sha256
LiCl	LiDS-1	window_026_2.33nm	umbrella_eq.xtc	52554376	finished_mdrun+final_gro+critical_sha256
LiCl	LiDS-1	window_026_2.33nm	umbrella.xtc	209906420	finished_mdrun+final_gro+critical_sha256
LiCl	LiDS-1	window_015_1.50nm	umbrella_eq.xtc	52554108	finished_mdrun+final_gro+critical_sha256
LiCl	LiDS-1	window_015_1.50nm	umbrella.xtc	209904128	finished_mdrun+final_gro+critical_sha256
LiCl	LiDS-1	window_012_1.28nm	umbrella_eq.xtc	52555352	finished_mdrun+final_gro+critical_sha256
LiCl	LiDS-1	window_012_1.28nm	umbrella.xtc	209911192	finished_mdrun+final_gro+critical_sha256
LiCl	LiN3-Core	window_000_0.76nm	umbrella_eq.xtc	79964296	finished_mdrun+final_gro+critical_sha256
LiCl	LiN3-Core	window_000_0.76nm	umbrella.xtc	319381632	finished_mdrun+final_gro+critical_sha256
LiCl	LiN3-Core	window_002_0.91nm	umbrella_eq.xtc	79964376	finished_mdrun+final_gro+critical_sha256
LiCl	LiN3-Core	window_002_0.91nm	umbrella.xtc	319379744	finished_mdrun+final_gro+critical_sha256
LiCl	LiN3-Core	window_001_0.84nm	umbrella_eq.xtc	79964280	finished_mdrun+final_gro+critical_sha256
LiCl	LiN3-Core	window_001_0.84nm	umbrella.xtc	319377880	finished_mdrun+final_gro+critical_sha256
LiCl	LiN3-Core	window_003_0.99nm	umbrella_eq.xtc	79963852	finished_mdrun+final_gro+critical_sha256
LiCl	LiN3-Core	window_003_0.99nm	umbrella.xtc	319380308	finished_mdrun+final_gro+critical_sha256
NaCl	LiLC-1	window_007_1.24nm	umbrella_eq.xtc	79822640	finished_mdrun+final_gro+critical_sha256
NaCl	LiLC-1	window_007_1.24nm	umbrella.xtc	318812308	finished_mdrun+final_gro+critical_sha256
NaCl	LiLC-1	window_005_1.09nm	umbrella_eq.xtc	79822216	finished_mdrun+final_gro+critical_sha256
NaCl	LiLC-1	window_005_1.09nm	umbrella.xtc	318814556	finished_mdrun+final_gro+critical_sha256
NaCl	LiLC-1	window_012_1.61nm	umbrella_eq.xtc	79822376	finished_mdrun+final_gro+critical_sha256
NaCl	LiLC-1	window_012_1.61nm	umbrella.xtc	318811228	finished_mdrun+final_gro+critical_sha256
NaCl	LiLC-1	window_000_0.71nm	umbrella_eq.xtc	79822464	finished_mdrun+final_gro+critical_sha256
NaCl	LiLC-1	window_000_0.71nm	umbrella.xtc	318809880	finished_mdrun+final_gro+critical_sha256
NaCl	LiLC-1	window_003_0.94nm	umbrella_eq.xtc	79822312	finished_mdrun+final_gro+critical_sha256
NaCl	LiLC-1	window_003_0.94nm	umbrella.xtc	318813176	finished_mdrun+final_gro+critical_sha256
NaCl	LiLC-1	window_006_1.16nm	umbrella_eq.xtc	79823412	finished_mdrun+final_gro+critical_sha256
NaCl	LiLC-1	window_006_1.16nm	umbrella.xtc	318812544	finished_mdrun+final_gro+critical_sha256
NaCl	LiLC-1	window_002_0.86nm	umbrella_eq.xtc	79822472	finished_mdrun+final_gro+critical_sha256
NaCl	LiLC-1	window_002_0.86nm	umbrella.xtc	318811000	finished_mdrun+final_gro+critical_sha256
NaCl	LiLC-1	window_010_1.46nm	umbrella_eq.xtc	79822000	finished_mdrun+final_gro+critical_sha256
NaCl	LiLC-1	window_010_1.46nm	umbrella.xtc	318813016	finished_mdrun+final_gro+critical_sha256
NaCl	LiLC-1	window_001_0.79nm	umbrella_eq.xtc	79821436	finished_mdrun+final_gro+critical_sha256
